source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0003923,GPI-anchor transamidase activity,1.2874247503847538e-05,True,"""Catalysis of the formation of the linkage between a protein and a glycosylphosphatidylinositol anchor. The reaction probably occurs by subjecting a peptide bond to nucleophilic attack by the amino group of ethanolamine-GPI, transferring the protein from a signal peptide to the GPI anchor."" [ISBN:0471331309]",3,27,3,6538,0.1111111111111111,1.0,query_1,"['GO:0004197', 'GO:0016769']"
GO:CC,GO:1905369,endopeptidase complex,2.5374807061588954e-05,True,"""A protein complex which is capable of endopeptidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:1689240]",64,27,6,6555,0.2222222222222222,0.09375,query_1,['GO:1905368']
GO:BP,GO:0042147,"retrograde transport, endosome to Golgi",4.752335285982515e-05,True,"""The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport."" [GOC:jl, PMID:10873832, PMID:16936697]",57,27,6,6510,0.2222222222222222,0.10526315789473684,query_1,"['GO:0016197', 'GO:0016482']"
GO:CC,GO:0042765,GPI-anchor transamidase complex,9.144051901356447e-05,True,"""An enzyme complex which in humans and yeast consists of at least five proteins; for example, the complex contains GAA1, GPI8, PIG-S, PIG-U, and PIG-T in human, and Gaa1p, Gab1p, Gpi8p, Gpi16p, and Gpi17p in yeast. Catalyzes the posttranslational attachment of the carboxy-terminus of a precursor protein to a GPI-anchor."" [GOC:jl, GOC:rb, PMID:12802054]",5,27,3,6555,0.1111111111111111,0.6,query_1,"['GO:0005789', 'GO:0008303', 'GO:0098796', 'GO:0140534', 'GO:1990234']"
GO:CC,GO:0008303,caspase complex,9.144051901356447e-05,True,"""A protein complex that contains one or more cysteine-type endopeptidases (also called caspases), which give the complex a peptidase activity with specificity for the hydrolysis of aspartyl bonds. These complexes may be involved e.g. in apoptotic or inflammation processes."" [GOC:cna, GOC:mtg_apoptosis, PMID:15569692]",5,27,3,6555,0.1111111111111111,0.6,query_1,['GO:1905369']
GO:BP,GO:0006664,glycolipid metabolic process,0.0002040035816169154,True,"""The chemical reactions and pathways involving glycolipids, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide). Some substances classified as bacterial glycolipids have the sugar group acylated by one or more fatty acids and the glycerol group may be absent."" [ISBN:0198547684]",38,27,5,6510,0.18518518518518517,0.13157894736842105,query_1,"['GO:0006643', 'GO:1903509']"
GO:BP,GO:1903509,liposaccharide metabolic process,0.0002040035816169154,True,"""The chemical reactions and pathways involving liposaccharide."" [GO_REF:0000068, GOC:dph, GOC:TermGenie, PMID:9452964]",38,27,5,6510,0.18518518518518517,0.13157894736842105,query_1,"['GO:0006629', 'GO:1901135']"
GO:CC,GO:1905368,peptidase complex,0.0002233433812147417,True,"""A protein complex which is capable of peptidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:1689240]",92,27,6,6555,0.2222222222222222,0.06521739130434782,query_1,['GO:1902494']
GO:CC,GO:0012505,endomembrane system,0.00022439337577070438,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",1159,27,16,6555,0.5925925925925926,0.013805004314063849,query_1,['GO:0110165']
GO:BP,GO:0016255,attachment of GPI anchor to protein,0.0003402635132690665,True,"""A transamidation reaction that results in the cleavage of the polypeptide chain and the concomitant transfer of the GPI anchor to the newly formed carboxy-terminal amino acid of the anchored protein. The cleaved C-terminal contains the C-terminal GPI signal sequence of the newly synthesized polypeptide chain."" [ISBN:0879695595]",5,27,3,6510,0.1111111111111111,0.6,query_1,"['GO:0051604', 'GO:0180046']"
