source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005685,U1 snRNP,0.00026751585255735904,True,"""A ribonucleoprotein complex that contains small nuclear RNA U1, a heptameric ring of Sm proteins, as well as several proteins that are unique to the U1 snRNP, most of which remain associated with the U1 snRNA both while the U1 snRNP is free or assembled into a series of spliceosomal complexes."" [GOC:krc, GOC:mah, ISBN:0879695897]",18,11,3,6555,0.2727272727272727,0.16666666666666666,query_1,['GO:0097525']
GO:CC,GO:0000243,commitment complex,0.000503021948935038,True,"""A spliceosomal complex that is formed by association of the U1 snRNP with the 5' splice site of an unspliced intron in an RNA transcript."" [GOC:krc, ISBN:0879695897, PMID:9150140]",22,11,3,6555,0.2727272727272727,0.13636363636363635,query_1,['GO:0005684']
GO:CC,GO:0071004,U2-type prespliceosome,0.0014561627382380473,True,"""A spliceosomal complex that is formed by association of the 5' splice site with the U1 snRNP, while the branch point sequence is recognized by the U2 snRNP. The prespliceosome includes many proteins in addition to those found in the U1 and U2 snRNPs. Commitment to a given pair of 5' and 3' splice sites occurs at the time of prespliceosome formation."" [GOC:ab, GOC:krc, GOC:mah, PMID:17332742, PMID:19239890]",31,11,3,6555,0.2727272727272727,0.0967741935483871,query_1,"['GO:0005684', 'GO:0071010']"
GO:CC,GO:0071010,prespliceosome,0.0014561627382380473,True,"""A spliceosomal complex that is formed by association of the 5' splice site and the branch point sequence with specific snRNPs. The prespliceosome includes many proteins in addition to those found in the bound snRNPs. Commitment to a given pair of 5' and 3' splice sites occurs at the time of prespliceosome formation. Prespliceosome complexes are not active for splicing, but are instead an early step in the assembly of a spliceosomal complex."" [GOC:ab, GOC:krc, GOC:mah, PMID:17332742, PMID:19239890]",31,11,3,6555,0.2727272727272727,0.0967741935483871,query_1,['GO:0005681']
GO:BP,GO:0000395,mRNA 5'-splice site recognition,0.00201443385847637,True,"""Recognition of the intron 5'-splice site by components of the assembling spliceosome."" [GOC:krc, ISBN:0879695897]",20,11,3,6510,0.2727272727272727,0.15,query_1,"['GO:0006376', 'GO:0045292']"
GO:BP,GO:0006376,mRNA splice site recognition,0.0035633156098087413,True,"""Selection of a splice site by components of the assembling spliceosome."" [GOC:krc, ISBN:0879695897]",24,11,3,6510,0.2727272727272727,0.125,query_1,"['GO:0000245', 'GO:0022618']"
GO:BP,GO:0045292,"mRNA cis splicing, via spliceosome",0.007108247057592246,True,"""The joining together, after removal of an intervening sequence composed of one or more introns, of two segments of the same RNA molecule via spliceosomal catalysis to produce an mRNA composed only of exon sequences that all came from the same primary transcript."" [GOC:krc, ISBN:0879695897, PMID:18458335]",30,11,3,6510,0.2727272727272727,0.1,query_1,['GO:0000398']
GO:CC,GO:0097525,spliceosomal snRNP complex,0.011342131883005428,True,"""A small ribonucleoprotein complex involved in formation of the spliceosome."" [GOC:krc, GOC:pr, ISBN:0879695897]",61,11,3,6555,0.2727272727272727,0.04918032786885246,query_1,['GO:0030532']
GO:CC,GO:0030532,small nuclear ribonucleoprotein complex,0.012491801658186977,True,"""A ribonucleoprotein complex that contains at least one RNA of the small nuclear RNA (snRNA) class and as well as its associated proteins. These are typically named after the snRNA(s) they contain, e.g. U1 snRNP, U4/U6 snRNP, or 7SK snRNP. Many, of these complexes become part of the spliceosome involved in splicing of nuclear mRNAs. Others are involved in regulation of transcription elongation or 3'-end processing of replication-dependent histone pre-mRNAs."" [GOC:krc, GOC:mah, ISBN:0879695897]",63,11,3,6555,0.2727272727272727,0.047619047619047616,query_1,"['GO:0120114', 'GO:0140513', 'GO:1990904']"
GO:CC,GO:0005684,U2-type spliceosomal complex,0.013094107086356428,True,"""Any spliceosomal complex that forms during the splicing of a messenger RNA primary transcript to excise an intron that has canonical consensus sequences near the 5' and 3' ends."" [GOC:krc, GOC:mah, PMID:11343900]",64,11,3,6555,0.2727272727272727,0.046875,query_1,['GO:0005681']
