Community,Num Genes,Status,Output File
community_0,2,Skipped (too few genes),
community_1,2,Skipped (too few genes),
community_10,2,Skipped (too few genes),
community_11,2,Skipped (too few genes),
community_12,5,No enrichment found,
community_13,2,Skipped (too few genes),
community_14,2,Skipped (too few genes),
community_15,2,Skipped (too few genes),
community_16,5,No enrichment found,
community_17,3,Skipped (too few genes),
community_18,2,Skipped (too few genes),
community_19,5,No enrichment found,
community_2,5,No enrichment found,
community_20,4,Skipped (too few genes),
community_21,2,Skipped (too few genes),
community_22,2,Skipped (too few genes),
community_23,4,Skipped (too few genes),
community_24,2,Skipped (too few genes),
community_25,2,Skipped (too few genes),
community_26,2,Skipped (too few genes),
community_27,2,Skipped (too few genes),
community_28,2,Skipped (too few genes),
community_29,2,Skipped (too few genes),
community_3,7,No enrichment found,
community_30,3,Skipped (too few genes),
community_31,2,Skipped (too few genes),
community_32,6,No enrichment found,
community_33,2,Skipped (too few genes),
community_34,2,Skipped (too few genes),
community_35,4,Skipped (too few genes),
community_36,2,Skipped (too few genes),
community_37,2,Skipped (too few genes),
community_38,2,Skipped (too few genes),
community_39,2,Skipped (too few genes),
community_4,3,Skipped (too few genes),
community_40,2,Skipped (too few genes),
community_41,2,Skipped (too few genes),
community_42,2,Skipped (too few genes),
community_43,2,Skipped (too few genes),
community_44,3,Skipped (too few genes),
community_5,13,Enriched,C:\Users\ROG Zephyrus\Desktop\go_results\community_5_enrichment.csv
community_6,3,Skipped (too few genes),
community_7,4,Skipped (too few genes),
community_8,11,Enriched,C:\Users\ROG Zephyrus\Desktop\go_results\community_8_enrichment.csv
community_9,2,Skipped (too few genes),
